ピザです,it is pizza,piza desu
ケーキです,it is cake,keeki desu
ラーメンです,it is ramen,raamen desu
カリーです,it is curry,karii desu
はいピザです,yes it is pizza,hai piza desu
はいケーキです,yes it is cake,hai keeki desu
はいラーメンです,yes it is ramen,hai raamen desu
はいカリーです,yes it is curry,hai karii desu
いいえピザです,no it is pizza,iie piza desu
いいえケーキです,no it is cake,iie keeki desu
いいえラーメンです,no it is ramen,iie raamen desu
いいえカリーです,no it is curry,iie karii desu
ピザですか,is it pizza,piza desu ka
ケーキですか,is it cake,keeki desu ka
ラーメンですか,is it ramen,raamen desu ka
カレーですか,is it curry,karii desu ka
おいしいです,it is tasty,oishii desu
おいしいですか,is it tasty,oishii desu ka
おいしいピザ,tasty pizza,oishii piza
おいしいケーキ,tasty cake,oishii keeki
おいしいラーメン,tasty ramen,oishii raamen
おいしいカリー,tasty curry,oishii karii
ピザはおいしいです,pizza is tasty,piza wa oishii desu
ケーキはおいしいです,cake is tasty,caake wa oishii desu
ラーメンはおいしいです,ramen is tasty,raamen wa oishii desu
カレーはおいしいです,curry is tasty,karii wa oishii desu
おいしいピザですか,is it tasty pizza,oishii piza desu ka
おいしいケーキですか,is it tasty cake,oishii keeki desu ka
おいしいラーメンですか,is it tasty ramen,oishii raamen desu ka
おいしいカリーですか,is it tasty curry,oishii karii desu ka
これとそれ,this and that,kore to sore
それとこれ,that and this,sore to kore
これはピザです,this is pizza,kore wa piza desu
これはケーキです,this is cake,kore wa keeki desu
これはラーメンです,this is ramen,kore wa raamen desu
これはカリーです,this is curry,kore wa karii desu
はいこれはピザです,yes this is pizza,hai kore wa piza desu
はいこれはケーキです,yes this is cake,hai kore wa keeki desu
はいこれはラーメンです,yes this is ramen,hai kore wa raamen desu
はいこれはカリーです,yes this is curry,hai kore wa karii desu
いいえこれはピザです,no this is pizza,iie kore wa piza desu
いいえこれはケーキです,no this is cake,iie kore wa keeki desu
いいえこれはラーメンです,no this is ramen,iie kore wa raamen desu
いいえこれはカリーです,no this is curry,iie kore wa karii desu
これはおいしいピザです,this is tasty pizza,kore wa oishii piza desu
これはおいしいケーキです,this is tasty cake,kore wa oishii keeki desu
これはおいしいラーメンです,this is tasty ramen,kore wa oishii raamen desu
これはおいしいカリーです,this is tasty curry,kore wa oishii karii desu
はいこれはおいしいラーメンです,yes this is tasty ramen,hai kore wa oishii raamen desu
はいこれはおいしいケーキです,yes this is tasty cake,hai kore wa oishii desu
はいこれはおいしいピザです,yes this is tasty pizza,hai kore wa oishii piza desu
はいこれはおいしいカリーです,yes this is tasty curry,hai kore wa oishii karii desu
これはピザですか,is this pizza,kore wa piza desu ka
これはケーキですか,is this cake,kore wa keeki desu ka
これはラーメンですか,is this ramen,kore wa raamen desu ka
これはカリーですか,is this curry,kore wa karii desu ka
これはおいしいピザですか,is this tasty pizza,kore wa oishii piza desu ka
これはおいしいケーキですか,is this tasty cake,kore wa oishii keeki desu ka
これはおいしいラーメンですか,is this tasty ramen,kore wa oishii raamen desu ka
これはおいしいカリーですか,is this tasty curry,kore wa oishii karii desu ka
はいこれはおいしいです,yes this is tasty,hai kore wa oishii desu
いいえこれおいしいです,no this is tasty,iie kore wa oishii desu
これはおいしいですか,is this tasty,kore wa oishii desu ka
これはおいしいです,this is tasty,kore wa oishii desu
それはピザです,that is pizza,sore wa piza desu
それはケーキです,that is cake,sore wa keeki desu
それはラーメンです,that is ramen,sore wa raamen desu
それはカリーです,that is curry,sore wa karii desu
はいそれはピザです,yes that is pizza,hai sore wa piza desu
はいそれはケーキです,yes that is cake,hai sore wa keeki desu
はいそれはラーメンです,yes that is ramen,hai sore wa raamen desu
はいそれはカリーです,yes that is curry,hai sore wa karii desu
いいえそれはピザです,no that is pizza,iie sore wa piza desu
いいえそれはケーキです,no that is cake,iie sore wa keeki desu
いいえそれはラーメンです,no that is ramen,iie sore wa raamen desu
いいえそれはカレーです,no that is curry,iie sore wa karii desu
それはおいしいピザです,that is tasty pizza,sore wa oishii piza desu
それはおいしいケーキです,that is tasty cake,kore wa oishii keeki desu
それはおいしいラーメンです,that is tasty ramen,sore wa oishii raamen desu
それはおいしいカリーです,that is tasty curry,sore wa oishii karii desu
はいそれはおいしいラーメンです,yes that is tasty ramen,hai sore wa oishii raamen desu
はいそれはおいしいケーキです,yes that is tasty cake,hai sore wa oishii keeki desu
はいそれはおいしいピザです,yes that is tasty pizza,hai sore wa oishii piza desu
はいそれはおいしいカリーです,yes that is tasty curry,hai sore wa oishii karii desu
それはピザですか,is that pizza,sore wa piza desu ka
それはケーキですか,is that cake,sore wa keeki desu ka
それはラーメンですか,is that ramen,sore wa raamen desu ka
それはカリーですか,is that curry,sore wa karii desu ka
それはおいしいピザですか,is that tasty pizza,sore wa oishii piza desu ka
それはおいしいケーキですか,is that tasty cake,sore wa oishii keeki desu ka
それはおいしいラーメンですか,is that tasty ramen,sore wa oishii ramen desu ka
それはおいしいカリーですか,is that tasty curry,sore wa oishii karii desu ka
それはおいしいですか,is that tasty,sore wa oishii desu ka
はいそれはおいしいです,yes that is tasty,hai sore wa oishii desu
いいえそれはおいしいです,no that is tasty,iie sore wa oishii desu
